gene,p_val,avg_log2FC,pct.1,pct.2,p_val_adj,delta.pct,exp.group1,exp.group2,ensembl_id,chromosome,strand,gene_biotype,membrane_protein,description
BHLHE40,2.38E-74,-2.597592596,0.088,0.767,9.06E-70,-0.679,0.21571582,6.358433271,ENSG00000134107,3,+,protein_coding,no,basic helix-loop-helix family member e40
UBC,1.50E-72,-1.915918324,0.781,0.976,5.72E-68,-0.195,7.92913867,32.69445626,ENSG00000150991,12,-,protein_coding,yes,ubiquitin C
SLC2A3,8.37E-72,-2.707594329,0.262,0.869,3.19E-67,-0.607,1.088788579,12.64462466,ENSG00000059804,12,-,protein_coding,yes,solute carrier family 2 member 3
JUN,4.71E-68,-2.193314908,0.447,0.922,1.80E-63,-0.475,4.866233674,25.82952202,ENSG00000177606,1,-,protein_coding,no,"Jun proto-oncogene, AP-1 transcription factor subunit"
ARRDC3,5.94E-61,-2.197873443,0.094,0.698,2.27E-56,-0.604,0.231218448,4.648861766,ENSG00000113369,5,-,protein_coding,yes,arrestin domain containing 3
JUND,1.42E-60,-2.405062505,0.405,0.858,5.43E-56,-0.453,2.880512331,19.55346384,ENSG00000130522,19,-,protein_coding,no,"JunD proto-oncogene, AP-1 transcription factor subunit"
FOSB,3.75E-53,-2.745487207,0.105,0.644,1.43E-48,-0.539,0.761854733,10.81528221,ENSG00000125740,19,+,protein_coding,no,"FosB proto-oncogene, AP-1 transcription factor subunit"
KLF4,7.66E-53,-2.50040166,0.142,0.66,2.92E-48,-0.518,0.369289605,6.748028546,ENSG00000136826,9,-,protein_coding,no,Kruppel like factor 4
LIFR,2.07E-52,2.290499114,0.866,0.642,7.90E-48,0.224,17.64496141,2.81111936,ENSG00000113594,5,-,protein_coding,yes,LIF receptor subunit alpha
JUNB,3.35E-52,-1.898212657,0.293,0.805,1.28E-47,-0.512,2.413019672,11.72206878,ENSG00000171223,19,+,protein_coding,no,"JunB proto-oncogene, AP-1 transcription factor subunit"
CDKN1A,2.32E-51,-1.730650147,0.1,0.628,8.84E-47,-0.528,0.266135921,3.20201827,ENSG00000124762,6,+,protein_coding,no,cyclin dependent kinase inhibitor 1A
YBX3,3.27E-49,-1.552652663,0.513,0.874,1.25E-44,-0.361,2.706280108,9.872596309,ENSG00000060138,12,-,protein_coding,no,Y-box binding protein 3
ZFP36,2.59E-48,-2.272238541,0.234,0.757,9.87E-44,-0.523,1.38719108,10.53185416,ENSG00000128016,19,+,protein_coding,no,ZFP36 ring finger protein
FOS,2.23E-44,-1.576523012,0.162,0.703,8.52E-40,-0.541,3.245176131,11.66124548,ENSG00000170345,14,+,protein_coding,no,"Fos proto-oncogene, AP-1 transcription factor subunit"
NR4A1,3.03E-44,-2.234577603,0.123,0.626,1.16E-39,-0.503,0.492540908,6.024268913,ENSG00000123358,12,+,protein_coding,no,nuclear receptor subfamily 4 group A member 1
ATF3,1.01E-42,-1.995657135,0.094,0.57,3.86E-38,-0.476,0.536385824,5.127071522,ENSG00000162772,1,+,protein_coding,no,activating transcription factor 3
MAFF,1.37E-41,-1.317688206,0.091,0.564,5.21E-37,-0.473,0.209380292,2.014578255,ENSG00000185022,22,+,protein_coding,no,MAF bZIP transcription factor F
ACTB,3.49E-41,-1.562232369,0.67,0.925,1.33E-36,-0.255,6.309131029,20.58462713,ENSG00000075624,7,-,protein_coding,yes,actin beta
DUSP1,6.11E-41,-1.819981745,0.45,0.861,2.33E-36,-0.411,2.709652011,12.09791805,ENSG00000120129,5,-,protein_coding,no,dual specificity phosphatase 1
GADD45B,1.99E-40,-1.642674983,0.182,0.668,7.58E-36,-0.486,0.872086674,4.845482905,ENSG00000099860,19,+,protein_coding,no,growth arrest and DNA damage inducible beta
PTMA,2.40E-39,-1.09408662,0.812,0.955,9.17E-35,-0.143,13.91538502,30.8410484,ENSG00000187514,2,+,protein_coding,no,prothymosin alpha
PNP,2.70E-39,-1.749605986,0.06,0.489,1.03E-34,-0.429,0.09852087,2.693960054,ENSG00000198805,14,+,protein_coding,no,purine nucleoside phosphorylase
HES1,1.03E-38,-2.618595324,0.328,0.791,3.94E-34,-0.463,2.484805345,20.40199525,ENSG00000114315,3,+,protein_coding,no,hes family bHLH transcription factor 1
NAMPT,5.83E-38,-1.296570848,0.299,0.749,2.22E-33,-0.45,1.043270327,4.019177387,ENSG00000105835,7,-,protein_coding,yes,nicotinamide phosphoribosyltransferase
MTRNR2L1,1.57E-37,1.871849079,0.49,0.094,5.98E-33,0.396,2.952100719,0.079804875,ENSG00000256618,17,+,protein_coding,no,MT-RNR2 like 1
FKBP1A,3.77E-37,-1.429265672,0.442,0.81,1.44E-32,-0.368,2.138799937,7.453089639,ENSG00000088832,20,-,protein_coding,no,FKBP prolyl isomerase 1A
VMP1,6.25E-37,-1.758194524,0.248,0.701,2.38E-32,-0.453,0.678656047,4.678465729,ENSG00000062716,17,+,protein_coding,yes,vacuole membrane protein 1
MCL1,1.09E-36,-1.365916256,0.322,0.717,4.16E-32,-0.395,1.183926474,4.628851321,ENSG00000143384,1,-,protein_coding,no,"MCL1 apoptosis regulator, BCL2 family member"
LITAF,3.38E-36,-1.129975856,0.128,0.572,1.29E-31,-0.444,0.279108699,1.799394335,ENSG00000189067,16,-,protein_coding,yes,lipopolysaccharide induced TNF factor
DNAJA1,4.96E-36,-1.797756965,0.35,0.714,1.89E-31,-0.364,2.01803014,9.493064537,ENSG00000086061,9,+,protein_coding,no,DnaJ heat shock protein family (Hsp40) member A1
PPP1R15A,2.05E-35,-1.454066447,0.188,0.628,7.80E-31,-0.44,1.161755258,4.922760074,ENSG00000087074,19,+,protein_coding,no,protein phosphatase 1 regulatory subunit 15A
ENG,2.18E-35,1.369077779,0.855,0.727,8.33E-31,0.128,14.79421892,5.114552461,ENSG00000106991,9,-,protein_coding,yes,endoglin
KLF2,3.49E-35,-1.522760991,0.359,0.786,1.33E-30,-0.427,2.362835636,8.662786316,ENSG00000127528,19,+,protein_coding,no,Kruppel like factor 2
C11orf96,1.43E-34,-2.020987528,0.177,0.591,5.47E-30,-0.414,0.730844148,6.024830197,ENSG00000187479,11,+,protein_coding,no,chromosome 11 open reading frame 96
MUC20-OT1,1.63E-34,1.700569197,0.684,0.345,6.20E-30,0.339,4.475156581,0.684512375,ENSG00000242086,3,+,lncRNA,no,MUC20 overlapping transcript
UBE2S,1.39E-33,-1.042108516,0.068,0.465,5.29E-29,-0.397,0.118195585,1.302627543,ENSG00000108106,19,-,protein_coding,no,ubiquitin conjugating enzyme E2 S
SOCS3,3.85E-33,-1.320185367,0.208,0.647,1.47E-28,-0.439,1.157956569,4.388378507,ENSG00000184557,17,-,protein_coding,no,suppressor of cytokine signaling 3
PDLIM1,8.07E-33,-1.407844413,0.356,0.741,3.08E-28,-0.385,1.446991365,5.492856948,ENSG00000107438,10,-,protein_coding,no,PDZ and LIM domain 1
SERTAD1,2.48E-32,-1.474707533,0.157,0.551,9.45E-28,-0.394,0.407841075,2.912774633,ENSG00000197019,19,-,protein_coding,no,SERTA domain containing 1
CYR61,2.86E-32,-1.457747129,0.117,0.54,1.09E-27,-0.423,0.583972833,3.350842286,ENSG00000142871,1,+,protein_coding,no,cellular communication network factor 1
NEDD9,4.81E-32,-1.081866104,0.296,0.719,1.83E-27,-0.423,0.9373496,3.100928016,ENSG00000111859,6,-,protein_coding,yes,"neural precursor cell expressed, developmentally down-regulated 9"
HBEGF,5.19E-32,-1.225466755,0.123,0.527,1.98E-27,-0.404,0.330962704,2.112204582,ENSG00000113070,5,-,protein_coding,yes,heparin binding EGF like growth factor
PTGS2,6.04E-32,-1.501081826,0.123,0.535,2.30E-27,-0.412,0.491027466,3.220426091,ENSG00000073756,1,-,protein_coding,no,prostaglandin-endoperoxide synthase 2
TSC22D1,6.17E-32,-1.453312983,0.376,0.775,2.35E-27,-0.399,2.140286452,7.599239928,ENSG00000102804,13,-,protein_coding,no,TSC22 domain family member 1
EEF1A1,4.91E-31,-1.016505678,0.92,0.987,1.87E-26,-0.067,30.61609838,62.95978191,ENSG00000156508,6,-,protein_coding,yes,eukaryotic translation elongation factor 1 alpha 1
ADM,8.48E-31,-1.463651002,0.1,0.489,3.24E-26,-0.389,0.235172217,2.406672376,ENSG00000148926,11,+,protein_coding,no,adrenomedullin
ARID5A,1.33E-30,-1.097469357,0.088,0.476,5.06E-26,-0.388,0.244427097,1.662812917,ENSG00000196843,2,+,protein_coding,no,AT-rich interaction domain 5A
RBM3,5.33E-30,-1.031437508,0.219,0.62,2.03E-25,-0.401,0.571533377,2.212308433,ENSG00000102317,X,+,protein_coding,no,RNA binding motif protein 3
LMNA,5.51E-30,-2.09345386,0.285,0.623,2.10E-25,-0.338,0.867801349,6.971188719,ENSG00000160789,1,+,protein_coding,no,lamin A/C
CSRNP1,6.49E-30,-0.861678028,0.088,0.471,2.47E-25,-0.383,0.181501737,1.146966645,ENSG00000144655,3,-,protein_coding,no,cysteine and serine rich nuclear protein 1
TPT1,1.62E-29,-0.96932384,0.872,0.968,6.18E-25,-0.096,23.35051195,46.67642116,ENSG00000133112,13,-,protein_coding,no,"tumor protein, translationally-controlled 1"
EMP1,3.77E-29,-2.02109502,0.316,0.628,1.44E-24,-0.312,1.003695311,7.132833985,ENSG00000134531,12,+,protein_coding,yes,epithelial membrane protein 1
DDIT3,3.94E-29,-1.064575267,0.094,0.457,1.50E-24,-0.363,0.136196665,1.376416714,ENSG00000175197,12,-,protein_coding,no,DNA damage inducible transcript 3
APOLD1,8.87E-29,-1.469298778,0.197,0.594,3.38E-24,-0.397,0.777319062,3.921170405,ENSG00000178878,12,+,protein_coding,yes,apolipoprotein L domain containing 1
IER3,1.02E-28,-1.208340256,0.154,0.556,3.88E-24,-0.402,0.706772539,2.943867437,ENSG00000137331,6,-,protein_coding,no,immediate early response 3
