"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","dpct","gene","motif"
"MA0770.1",2.60903736466065e-26,1.6824191582088,0.961,0.549,1.94634187403685e-23,0.412,"MA0770.1","HSF2"
"MA0089.2",3.33868896339123e-25,-6.83725060913789,0.289,0.836,2.49066196668986e-22,-0.547,"MA0089.2","NFE2L1"
"MA0771.1",1.83660574017586e-24,1.75408713104662,0.947,0.5,1.37010788217119e-21,0.447,"MA0771.1","HSF4"
"MA0150.2",3.4094987074691e-24,-3.90612672926647,0.342,0.869,2.54348603577195e-21,-0.527,"MA0150.2","Nfe2l2"
"MA1101.2",4.66778198833522e-24,-6.59466695861127,0.329,0.844,3.48216536329807e-21,-0.515,"MA1101.2","BACH2"
"MA1633.1",9.78400760786955e-24,-4.40877047738816,0.395,0.852,7.29886967547069e-21,-0.457,"MA1633.1","BACH1"
"MA0486.2",2.3934049803704e-23,1.59173505459843,0.961,0.541,1.78548011535632e-20,0.42,"MA0486.2","HSF1"
"MA0591.1",2.21304281311817e-22,-2.40748958924541,0.487,0.861,1.65092993858616e-19,-0.374,"MA0591.1","Bach1::Mafk"
"MA1124.1",7.62284123041066e-15,-1.70261008659483,0.263,0.738,5.68663955788635e-12,-0.475,"MA1124.1","ZNF24"
"MA0782.2",1.1150125833457e-12,-1.81695728248662,0.342,0.77,8.31799387175893e-10,-0.428,"MA0782.2","PKNOX1"
"MA1114.1",1.85947455547383e-12,-1.47151129634212,0.368,0.795,1.38716801838348e-09,-0.427,"MA1114.1","PBX3"
"MA0067.1",5.7414925487937e-12,-1.52674426662964,0.355,0.77,4.2831534414001e-09,-0.415,"MA0067.1","Pax2"
"MA0727.1",1.22772419701202e-11,0.845679463706288,0.987,0.902,9.15882250970969e-09,0.085,"MA0727.1","NR3C2"
"MA1537.1",1.73755940321924e-11,0.700575540793941,0.987,0.836,1.29621931480156e-08,0.151,"MA1537.1","NR2F1(var.2)"
"MA0639.1",7.85278529782067e-11,1.62620231612999,0.684,0.361,5.85817783217422e-08,0.323,"MA0639.1","DBP"
"MA0596.1",1.00031260646464e-10,-1.98180198615848,0.263,0.623,7.46233204422622e-08,-0.36,"MA0596.1","SREBF2"
"MA0799.1",1.33413725537855e-10,-0.903365222794663,0.658,0.902,9.95266392512399e-08,-0.244,"MA0799.1","RFX4"
