gene,p_val,avg_log2FC,pct.1,pct.2,p_val_adj,delta.pct,exp.group1,exp.group2,ensembl_id,chromosome,strand,gene_biotype,membrane_protein,description
HSPA1A,6.64E-86,-3.157344604,0.4,0.891,2.53E-81,-0.491,0.874084557,15.72032114,ENSG00000204389,6,+,protein_coding,yes,heat shock protein family A (Hsp70) member 1A
HSPA6,3.41E-83,-3.235831709,0.002,0.648,1.30E-78,-0.646,0.013176724,8.544817067,ENSG00000173110,1,+,protein_coding,yes,heat shock protein family A (Hsp70) member 6
FOS,1.95E-72,-1.930063713,0.009,0.595,7.44E-68,-0.586,0.027294993,2.91473386,ENSG00000170345,14,+,protein_coding,no,"Fos proto-oncogene, AP-1 transcription factor subunit"
GAPDH,2.17E-69,-1.580798895,0.952,0.993,8.28E-65,-0.041,15.17236964,47.37729081,ENSG00000111640,12,+,protein_coding,yes,glyceraldehyde-3-phosphate dehydrogenase
LDHA,2.19E-69,-1.836823967,0.731,0.938,8.37E-65,-0.207,3.797199571,16.13668829,ENSG00000134333,11,+,protein_coding,no,lactate dehydrogenase A
HSPA1B,8.09E-68,-2.221464718,0.215,0.77,3.09E-63,-0.555,0.380020681,5.435956635,ENSG00000204388,6,+,protein_coding,yes,heat shock protein family A (Hsp70) member 1B
DNAJB1,9.30E-64,-2.348978286,0.278,0.786,3.55E-59,-0.508,0.494366644,6.613249949,ENSG00000132002,19,-,protein_coding,no,DnaJ heat shock protein family (Hsp40) member B1
AC055733.2,1.03E-54,-1.634721596,0.346,0.816,3.92E-50,-0.47,1.159556432,5.706019194,ENSG00000250592,3,-,lncRNA,no,"novel transcript, antisense to ATP2C1"
GPATCH1,1.34E-53,-1.539423494,0.231,0.753,5.10E-49,-0.522,0.612438211,3.687008372,ENSG00000076650,19,+,protein_coding,no,G-patch domain containing 1
TPI1,6.93E-53,-1.384752973,0.787,0.947,2.64E-48,-0.16,5.003298131,14.67624683,ENSG00000111669,12,+,protein_coding,no,triosephosphate isomerase 1
DDIT4,2.88E-51,-1.638093691,0.204,0.694,1.10E-46,-0.49,0.368218103,3.25863745,ENSG00000168209,10,+,protein_coding,no,DNA damage inducible transcript 4
HSPB1,2.06E-50,-2.217241543,0.088,0.569,7.87E-46,-0.481,0.236767195,4.751010615,ENSG00000106211,7,+,protein_coding,yes,heat shock protein family B (small) member 1
BNIP3,8.46E-50,-1.298427945,0.38,0.809,3.23E-45,-0.429,0.942214655,3.777085182,ENSG00000176171,10,-,protein_coding,no,BCL2 interacting protein 3
PPP1R15A,1.15E-49,-1.072050886,0.038,0.497,4.38E-45,-0.459,0.066221837,1.241646086,ENSG00000087074,19,+,protein_coding,no,protein phosphatase 1 regulatory subunit 15A
PFKP,8.14E-47,-1.195155584,0.335,0.806,3.10E-42,-0.471,0.866706907,3.27418991,ENSG00000067057,10,+,protein_coding,no,"phosphofructokinase, platelet"
PCP4,8.38E-46,-1.62538883,0.57,0.914,3.20E-41,-0.344,5.869402137,20.193844,ENSG00000183036,21,+,protein_coding,no,Purkinje cell protein 4
CALB1,4.75E-45,1.735777637,0.584,0.089,1.81E-40,0.495,2.812209871,0.144605075,ENSG00000104327,8,-,protein_coding,no,calbindin 1
RGS2,6.46E-45,-0.811393112,0.014,0.414,2.47E-40,-0.4,0.016987579,0.784716808,ENSG00000116741,1,+,protein_coding,yes,regulator of G protein signaling 2
SNHG5,1.28E-41,-1.115818583,0.258,0.694,4.88E-37,-0.436,0.523581521,2.30187448,ENSG00000203875,6,-,lncRNA,no,small nucleolar RNA host gene 5
GADD45B,8.29E-40,-0.969447176,0.016,0.378,3.16E-35,-0.362,0.016596202,0.990586992,ENSG00000099860,19,+,protein_coding,no,growth arrest and DNA damage inducible beta
ANKRD37,1.60E-39,-1.230043067,0.247,0.678,6.09E-35,-0.431,0.48486324,2.483102982,ENSG00000186352,4,+,protein_coding,no,ankyrin repeat domain 37
TENT5A,5.84E-38,-1.024712249,0.102,0.507,2.23E-33,-0.405,0.1410381,1.32150311,ENSG00000112773,6,-,protein_coding,no,terminal nucleotidyltransferase 5A
MIR210HG,2.01E-37,-0.910287474,0.145,0.576,7.66E-33,-0.431,0.236039008,1.323036381,ENSG00000247095,11,-,lncRNA,no,MIR210 host gene
VTN,3.62E-37,-1.074129753,0.423,0.865,1.38E-32,-0.442,2.982036473,7.383985303,ENSG00000109072,17,-,protein_coding,no,vitronectin
AC092966.1,7.12E-37,-0.735644596,0.113,0.546,2.72E-32,-0.433,0.34265526,1.235710708,ENSG00000232130,3,-,lncRNA,no,novel transcript
UBC,1.95E-36,-1.064668451,0.846,0.944,7.42E-32,-0.098,6.010838957,13.66449563,ENSG00000150991,12,-,protein_coding,yes,ubiquitin C
HSPE1,1.48E-35,-1.129729599,0.446,0.816,5.66E-31,-0.37,1.23435379,3.889162108,ENSG00000115541,2,+,protein_coding,no,heat shock protein family E (Hsp10) member 1
IER2,1.14E-34,-0.977206337,0.093,0.477,4.34E-30,-0.384,0.183130978,1.329170307,ENSG00000160888,19,+,protein_coding,no,immediate early response 2
AC000124.1,1.15E-34,-0.825114976,0.176,0.589,4.37E-30,-0.413,0.301744408,1.306269621,ENSG00000226770,7,+,lncRNA,no,novel transcript
FAU,1.55E-34,-0.943741511,0.824,0.934,5.89E-30,-0.11,6.248534937,12.94263119,ENSG00000149806,11,-,protein_coding,no,FAU ubiquitin like and ribosomal protein S30 fusion
SLC16A3,1.92E-34,-0.766805456,0.018,0.342,7.33E-30,-0.324,0.017665884,0.731556468,ENSG00000141526,17,+,protein_coding,yes,solute carrier family 16 member 3
DUSP1,4.61E-34,-0.720941707,0.034,0.382,1.76E-29,-0.348,0.090145446,0.796840482,ENSG00000120129,5,-,protein_coding,no,dual specificity phosphatase 1
SEC61G,2.43E-33,-0.76585447,0.276,0.701,9.29E-29,-0.425,0.690549539,1.874571195,ENSG00000132432,7,-,protein_coding,no,SEC61 translocon subunit gamma
RPS21,3.48E-33,-1.138910213,0.529,0.786,1.33E-28,-0.257,1.858380062,5.294570621,ENSG00000171858,20,+,protein_coding,no,ribosomal protein S21
RPL12,1.36E-32,-1.019849325,0.652,0.875,5.20E-28,-0.223,3.764908066,8.66183827,ENSG00000197958,9,-,protein_coding,no,ribosomal protein L12
JUN,1.39E-32,-1.745641853,0.339,0.668,5.29E-28,-0.329,0.705110418,4.71798573,ENSG00000177606,1,-,protein_coding,no,"Jun proto-oncogene, AP-1 transcription factor subunit"
MT-ND3,1.64E-32,1.637591037,0.984,0.967,6.25E-28,0.017,151.6591562,48.06353488,ENSG00000198840,MT,+,protein_coding,no,mitochondrially encoded NADH:ubiquinone oxidoreductase core subunit 3
PKM,2.51E-32,-0.614762898,0.946,0.993,9.56E-28,-0.047,17.36141909,27.11695692,ENSG00000067225,15,-,protein_coding,no,pyruvate kinase M1/2
GADD45A,2.98E-32,-0.766067063,0.054,0.405,1.14E-27,-0.351,0.090868071,0.855160101,ENSG00000116717,1,+,protein_coding,no,growth arrest and DNA damage inducible alpha
ID2,6.03E-32,-0.815447683,0.043,0.378,2.30E-27,-0.335,0.05375961,0.854452701,ENSG00000115738,2,+,protein_coding,no,inhibitor of DNA binding 2
BNIP3L,7.84E-32,-0.854728044,0.566,0.868,2.99E-27,-0.302,1.595432103,3.693625681,ENSG00000104765,8,+,protein_coding,no,BCL2 interacting protein 3 like
PGK1,9.45E-32,-0.84911078,0.756,0.918,3.61E-27,-0.162,4.355525028,8.647390713,ENSG00000102144,X,+,protein_coding,no,phosphoglycerate kinase 1
CIRBP,1.44E-31,-0.837079921,0.638,0.875,5.48E-27,-0.237,2.263703176,4.830379435,ENSG00000099622,19,+,protein_coding,no,cold inducible RNA binding protein
PRCD,4.18E-31,-0.838599774,0.778,0.908,1.60E-26,-0.13,4.188256224,8.278229312,ENSG00000214140,17,+,protein_coding,no,photoreceptor disc component
HILPDA,1.01E-30,-0.928594196,0.124,0.493,3.85E-26,-0.369,0.207497457,1.298375226,ENSG00000135245,7,+,protein_coding,no,hypoxia inducible lipid droplet associated
HSPH1,2.08E-30,-1.537454635,0.362,0.688,7.94E-26,-0.326,0.627721011,3.724979533,ENSG00000120694,13,-,protein_coding,no,heat shock protein family H (Hsp110) member 1
BTG1,3.34E-30,-1.065791227,0.432,0.77,1.28E-25,-0.338,1.207950364,3.621941394,ENSG00000133639,12,-,protein_coding,no,BTG anti-proliferation factor 1
FOSB,1.18E-29,-0.640503983,0.009,0.283,4.49E-25,-0.274,0.00680264,0.569478089,ENSG00000125740,19,+,protein_coding,no,"FosB proto-oncogene, AP-1 transcription factor subunit"
HK2,2.09E-29,-1.129001247,0.498,0.836,7.98E-25,-0.338,1.834077167,5.1983331,ENSG00000159399,2,+,protein_coding,yes,hexokinase 2
JUNB,2.77E-29,-0.800381024,0.054,0.378,1.06E-24,-0.324,0.088290168,0.895323737,ENSG00000171223,19,+,protein_coding,no,"JunB proto-oncogene, AP-1 transcription factor subunit"
ENO1,4.91E-29,-0.848444694,0.618,0.832,1.87E-24,-0.214,2.131052455,4.637643972,ENSG00000074800,1,-,protein_coding,yes,enolase 1
C4orf3,6.55E-29,-0.784078983,0.561,0.826,2.50E-24,-0.265,1.669740471,3.597273461,ENSG00000164096,4,-,protein_coding,no,chromosome 4 open reading frame 3
