"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","dpct","gene","motif"
"MA0095.2",1.23020970951681e-81,-1.94582548993988,0.4,0.955,9.17736443299538e-79,-0.555,"MA0095.2","YY1"
"MA1651.1",7.85016097084117e-81,-3.23148706070633,0.248,0.88,5.85622008424751e-78,-0.632,"MA1651.1","ZFP42"
"MA0748.2",3.85235132730622e-80,-1.93613138673295,0.4,0.942,2.87385409017044e-77,-0.542,"MA0748.2","YY2"
"MA0079.4",2.24698650508121e-41,1.13564314233984,0.928,0.519,1.67625193279058e-38,0.409,"MA0079.4","SP1"
"MA0799.1",4.00911597928663e-41,-4.27411230283878,0.264,0.704,2.99080052054782e-38,-0.44,"MA0799.1","RFX4"
"MA0685.1",4.28007949820768e-39,1.2607367554214,0.896,0.417,3.19293930566293e-36,0.479,"MA0685.1","SP4"
"MA0764.2",9.62909044200032e-38,0.650678266473291,1,0.972,7.18330146973224e-35,0.028,"MA0764.2","ETV4"
"MA1508.1",9.01158442709076e-37,0.719925899936268,0.992,0.92,6.72264198260971e-34,0.072,"MA1508.1","IKZF1"
"MA0741.1",4.30286561838584e-36,1.66857772813999,0.616,0.174,3.20993775131583e-33,0.442,"MA0741.1","KLF16"
"MA0599.1",2.35988605789257e-35,2.35050103666433,0.432,0.102,1.76047499918786e-32,0.33,"MA0599.1","KLF5"
"MA1564.1",6.79057621739689e-35,1.0647552001454,0.888,0.401,5.06576985817808e-32,0.487,"MA1564.1","SP9"
"MA0598.3",3.52361662635976e-33,0.529754740041494,1,0.982,2.62861800326438e-30,0.018,"MA0598.3","EHF"
"MA0028.2",1.35641522437982e-31,-0.508965517533081,0.88,0.962,1.01188575738735e-28,-0.082,"MA0028.2","ELK1"
"MA0080.5",3.20298089000472e-31,0.949599487340437,0.936,0.634,2.38942374394352e-28,0.302,"MA0080.5","SPI1"
"MA0510.2",3.52588600627882e-30,-3.07228966202009,0.28,0.642,2.630310960684e-27,-0.362,"MA0510.2","RFX5"
"MA0062.3",2.81502416767342e-27,0.498701426414264,1,0.981,2.10000802908437e-24,0.019,"MA0062.3","GABPA"
"MA0761.2",4.54571302868772e-27,0.48438728962907,1,0.983,3.39110191940104e-24,0.017,"MA0761.2","ETV1"
"MA0746.2",1.68101395512275e-26,0.836069664398391,0.912,0.526,1.25403641052157e-23,0.386,"MA0746.2","SP3"
"MA0081.2",4.87881037101682e-26,0.731906495648435,0.976,0.806,3.63959253677855e-23,0.17,"MA0081.2","SPIB"
"MA1587.1",5.82326662754772e-26,-0.837599131664785,0.552,0.824,4.3441569041506e-23,-0.272,"MA1587.1","ZNF135"
"MA1512.1",1.96765702219201e-25,0.834319515366232,0.904,0.562,1.46787213855524e-22,0.342,"MA1512.1","KLF11"
"MA0740.1",2.06005797344071e-25,0.960279143040852,0.88,0.536,1.53680324818677e-22,0.344,"MA0740.1","KLF14"
"MA0763.1",5.45107380927973e-25,-0.363452492676012,0.936,0.98,4.06650106172268e-22,-0.0439999999999999,"MA0763.1","ETV3"
"MA1513.1",9.12861818411355e-25,0.850993283767414,0.816,0.341,6.80994916534871e-22,0.475,"MA1513.1","KLF15"
"MA0640.2",1.16512134813333e-24,0.506877334167592,1,0.978,8.69180525707463e-22,0.022,"MA0640.2","ELF3"
"MA0506.1",2.75807947512539e-24,-0.674645405413262,0.528,0.81,2.05752728844354e-21,-0.282,"MA0506.1","NRF1"
"MA0509.2",3.23525294784779e-24,-2.85012631972726,0.256,0.603,2.41349869909445e-21,-0.347,"MA0509.2","RFX1"
"MA0798.2",1.43632125285498e-23,-3.05404240169802,0.256,0.587,1.07149565462982e-20,-0.331,"MA0798.2","RFX3"
"MA0473.3",3.42015438652896e-23,0.486316496067695,1,0.983,2.5514351723506e-20,0.017,"MA0473.3","ELF1"
"MA1511.1",2.69555557057859e-22,0.818160041757169,0.856,0.599,2.01088445565163e-19,0.257,"MA1511.1","KLF10"
"MA0632.2",6.12620662772981e-21,-0.744926253899662,0.584,0.836,4.57015014428643e-18,-0.252,"MA0632.2","TCFL5"
"MA0747.1",6.18216858895151e-21,1.00380145744851,0.752,0.363,4.61189776735783e-18,0.389,"MA0747.1","SP8"
"MA0517.1",8.00486734065971e-20,0.702204845015746,0.952,0.76,5.97163103613214e-17,0.192,"MA0517.1","STAT1::STAT2"
"MA0083.3",1.24884888802058e-18,1.46096521173915,0.648,0.289,9.31641270463355e-16,0.359,"MA0083.3","SRF"
"MA0759.1",2.35528093161135e-17,-0.203387275326405,0.968,0.991,1.75703957498207e-14,-0.023,"MA0759.1","ELK3"
"MA0657.1",7.20586863446723e-17,1.11777410076465,0.752,0.406,5.37557800131255e-14,0.346,"MA0657.1","KLF13"
"MA0695.1",1.9834869904484e-16,-0.441653277856113,0.808,0.913,1.47968129487451e-13,-0.105,"MA0695.1","ZBTB7C"
"MA0742.1",2.89944704115132e-16,0.794390862198105,0.888,0.647,2.16298749269889e-13,0.241,"MA0742.1","Klf12"
"MA0753.2",4.00315047978628e-16,3.68148130811037,0.256,0.104,2.98635025792056e-13,0.152,"MA0753.2","ZNF740"
