gene,p_val,avg_log2FC,pct.1,pct.2,p_val_adj,delta.pct,exp.group1,exp.group2,ensembl_id,chromosome,strand,gene_biotype,membrane_protein,description
MTRNR2L1,0,2.037101719,0.693,0.046,0,0.647,3.255413055,0.036843,ENSG00000256618,17,+,protein_coding,no,MT-RNR2 like 1
FOSB,3.84E-261,-3.04036083,0.248,0.858,1.47E-256,-0.61,1.566039572,20.11072541,ENSG00000125740,19,+,protein_coding,no,"FosB proto-oncogene, AP-1 transcription factor subunit"
NAMPT,9.54E-242,-2.296621611,0.534,0.9,3.64E-237,-0.366,1.045317944,9.048768059,ENSG00000105835,7,-,protein_coding,yes,nicotinamide phosphoribosyltransferase
KLF4,4.98E-236,-3.040878978,0.232,0.794,1.90E-231,-0.562,0.344561169,10.06563524,ENSG00000136826,9,-,protein_coding,no,Kruppel like factor 4
DDX5,1.02E-225,-1.467381878,0.848,0.958,3.90E-221,-0.11,4.581978244,14.43526535,ENSG00000108654,17,-,protein_coding,no,DEAD-box helicase 5
SOD2,6.43E-203,-1.994401169,0.703,0.917,2.45E-198,-0.214,2.260292648,11.99065832,ENSG00000112096,6,-,protein_coding,no,superoxide dismutase 2
SOD2,6.43E-203,-1.994401169,0.703,0.917,2.45E-198,-0.214,2.260292648,11.99065832,ENSG00000285441,6,-,protein_coding,no,superoxide dismutase 2
ZFP36,8.81E-196,-2.199116552,0.492,0.876,3.36E-191,-0.384,1.812123708,11.91321756,ENSG00000128016,19,+,protein_coding,no,ZFP36 ring finger protein
BRD2,9.11E-192,-1.710448567,0.572,0.845,3.48E-187,-0.273,0.917767155,5.276133903,ENSG00000204256,6,+,protein_coding,no,bromodomain containing 2
RGCC,5.33E-186,-2.077747929,0.051,0.634,2.03E-181,-0.583,0.056884502,3.461613848,ENSG00000102760,13,+,protein_coding,no,regulator of cell cycle
DNAJA1,1.49E-178,-1.827314325,0.685,0.89,5.69E-174,-0.205,2.676274851,12.04621095,ENSG00000086061,9,+,protein_coding,no,DnaJ heat shock protein family (Hsp40) member A1
