gene,p_val,avg_log2FC,pct.1,pct.2,p_val_adj,delta.pct,exp.group1,exp.group2,ensembl_id,chromosome,strand,gene_biotype,membrane_protein,description
MTRNR2L1,3.94E-164,2.066075264,0.549,0.004,1.50E-159,0.545,3.230683472,0.010322224,ENSG00000256618,17,+,protein_coding,no,MT-RNR2 like 1
MT-RNR2,3.36E-126,1.572708739,0.997,1,1.28E-121,-0.003,1337.614124,449.0107599,NA,NA,NA,NA,NA,NA
CREM,1.04E-117,-3.47429056,0.144,0.871,3.96E-113,-0.727,0.681554421,17.68859271,ENSG00000095794,10,+,protein_coding,no,cAMP responsive element modulator
MT-ND5,1.63E-115,1.770976815,0.997,0.956,6.21E-111,0.041,57.90131843,16.2586918,ENSG00000198786,MT,+,protein_coding,no,mitochondrially encoded NADH:ubiquinone oxidoreductase core subunit 5
JUND,9.04E-114,-2.12581648,0.672,0.981,3.45E-109,-0.309,6.74293527,32.79404316,ENSG00000130522,19,-,protein_coding,no,"JunD proto-oncogene, AP-1 transcription factor subunit"
TXNIP,1.20E-104,2.278958978,0.92,0.498,4.59E-100,0.422,18.15402155,2.946616804,ENSG00000265972,1,-,protein_coding,no,thioredoxin interacting protein
PTMA,7.72E-100,-1.401946853,0.856,0.99,2.95E-95,-0.134,15.447013,42.46253873,ENSG00000187514,2,+,protein_coding,no,prothymosin alpha
SRGN,1.51E-89,-2.055154057,0.617,0.949,5.78E-85,-0.332,5.163768461,24.61588314,ENSG00000122862,10,+,protein_coding,no,serglycin
EIF1,2.59E-89,-1.612647874,0.681,0.971,9.88E-85,-0.29,8.137467161,26.94352637,ENSG00000173812,17,+,protein_coding,no,eukaryotic translation initiation factor 1
SELENOK,3.35E-88,-2.262498944,0.267,0.85,1.28E-83,-0.583,1.084579419,9.002268143,ENSG00000113811,3,-,protein_coding,yes,selenoprotein K
HLA-B,4.42E-85,-1.338384506,0.844,0.982,1.69E-80,-0.138,13.06419945,34.56386057,ENSG00000234745,6,-,protein_coding,yes,"major histocompatibility complex, class I, B"
HLA-B,4.42E-85,-1.338384506,0.844,0.982,1.69E-80,-0.138,13.06419945,34.56386057,ENSG00000234745,6,-,protein_coding,yes,"major histocompatibility complex, class I, B"
MT-ND3,1.40E-84,-1.269202522,0.988,0.999,5.34E-80,-0.011,53.89584854,131.3145281,ENSG00000198840,MT,+,protein_coding,no,mitochondrially encoded NADH:ubiquinone oxidoreductase core subunit 3
RPS29,3.52E-84,-1.715034874,0.761,0.993,1.34E-79,-0.232,38.20425525,127.7093654,ENSG00000213741,14,-,protein_coding,no,ribosomal protein S29
HSP90AB1,1.25E-82,-1.846832475,0.555,0.957,4.79E-78,-0.402,5.823697118,23.54549041,ENSG00000096384,6,+,protein_coding,yes,heat shock protein 90 alpha family class B member 1
HSPA8,1.41E-82,-1.76341804,0.558,0.935,5.36E-78,-0.377,4.504070267,17.6864023,ENSG00000109971,11,-,protein_coding,yes,heat shock protein family A (Hsp70) member 8
